position,track,artist,streams,date
1,Starboy,The Weeknd,3135625,2017-01-01
2,Closer,The Chainsmokers,3015525,2017-01-01
3,Let Me Love You,DJ Snake,2545384,2017-01-01
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2356604,2017-01-01
5,One Dance,Drake,2259887,2017-01-01
6,Fake Love,Drake,2137437,2017-01-01
7,24K Magic,Bruno Mars,2111599,2017-01-01
8,Don't Wanna Know,Maroon 5,2107137,2017-01-01
9,Black Beatles,Rae Sremmurd,2075732,2017-01-01
10,I Feel It Coming,The Weeknd,1949575,2017-01-01
11,Chantaje (feat. Maluma),Shakira,1893214,2017-01-01
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1857252,2017-01-01
13,Say You Won't Let Go,James Arthur,1812335,2017-01-01
14,Bad and Boujee (feat. Lil Uzi Vert),Migos,1801707,2017-01-01
15,Cold Water (feat. Justin Bieber & MØ),Major Lazer,1731191,2017-01-01
16,In the Name of Love,Martin Garrix,1647944,2017-01-01
17,Side To Side,Ariana Grande,1527676,2017-01-01
18,Call On Me - Ryan Riback Extended Remix,Starley,1507320,2017-01-01
19,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1480601,2017-01-01
20,Don't Let Me Down,The Chainsmokers,1438471,2017-01-01
21,Treat You Better,Shawn Mendes,1409430,2017-01-01
22,Just Hold On,Steve Aoki,1375005,2017-01-01
23,My Way,Calvin Harris,1341827,2017-01-01
24,Starving,Hailee Steinfeld,1338596,2017-01-01
25,Bad Things (with Camila Cabello),Machine Gun Kelly,1257334,2017-01-01
26,Heathens,Twenty One Pilots,1255839,2017-01-01
27,Cheap Thrills,Sia,1238279,2017-01-01
28,All We Know (feat. Phoebe Ryan),The Chainsmokers,1238138,2017-01-01
29,Mercy,Shawn Mendes,1215550,2017-01-01
30,Reggaetón Lento (Bailemos),CNCO,1164530,2017-01-01
