position,track,artist,streams,date
1,The Box,Roddy Ricch,1812103,2020-01-01
2,ROXANNE,Arizona Zervas,1400495,2020-01-01
3,Circles,Post Malone,1186861,2020-01-01
4,BOP,DaBaby,1130123,2020-01-01
5,Bandit (with YoungBoy Never Broke Again),Juice WRLD,968612,2020-01-01
6,Dance Monkey,Tones And I,916609,2020-01-01
7,Futsal Shuffle 2020,Lil Uzi Vert,893092,2020-01-01
8,Falling,Trevor Daniel,872244,2020-01-01
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,786856,2020-01-01
10,Ballin' (with Roddy Ricch),Mustard,772662,2020-01-01
11,bad guy,Billie Eilish,717321,2020-01-01
12,everything i wanted,Billie Eilish,691325,2020-01-01
13,Suicidal,YNW Melly,682998,2020-01-01
14,OUT WEST (feat. Young Thug),JACKBOYS,680820,2020-01-01
15,Adore You,Harry Styles,676253,2020-01-01
16,Blinding Lights,The Weeknd,670492,2020-01-01
17,HIGHEST IN THE ROOM,Travis Scott,654571,2020-01-01
18,hot girl bummer,blackbear,634027,2020-01-01
19,Don't Start Now,Dua Lipa,622304,2020-01-01
20,My Oh My (feat. DaBaby),Camila Cabello,621539,2020-01-01
21,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,620284,2020-01-01
22,Heartless,The Weeknd,613239,2020-01-01
23,Suge,DaBaby,607559,2020-01-01
24,VIBEZ,DaBaby,605164,2020-01-01
25,Truth Hurts,Lizzo,599849,2020-01-01
26,Woah,Lil Baby,596844,2020-01-01
27,Watermelon Sugar,Harry Styles,583625,2020-01-01
28,No Idea,Don Toliver,580241,2020-01-01
29,Lucid Dreams,Juice WRLD,579125,2020-01-01
30,Memories,Maroon 5,578449,2020-01-01
31,Someone You Loved,Lewis Capaldi,576490,2020-01-01
32,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,564699,2020-01-01
33,Ransom,Lil Tecca,521428,2020-01-01
34,Robbery,Juice WRLD,521072,2020-01-01
35,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,513884,2020-01-01
36,Money In The Grave (Drake ft. Rick Ross),Drake,486281,2020-01-01
37,223's (feat. 9lokknine),YNW Melly,485460,2020-01-01
38,Señorita,Shawn Mendes,485432,2020-01-01
39,Lose You To Love Me,Selena Gomez,476592,2020-01-01
40,No Guidance (feat. Drake),Chris Brown,471141,2020-01-01
41,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,454923,2020-01-01
42,Wow.,Post Malone,448286,2020-01-01
43,Stuck In A Dream (feat. Gunna),Lil Mosey,444279,2020-01-01
44,Goodbyes (Feat. Young Thug),Post Malone,443078,2020-01-01
45,Had Enough (feat. Quavo & Offset),Don Toliver,431952,2020-01-01
46,Death,Trippie Redd,431022,2020-01-01
47,MIDDLE CHILD,J. Cole,428798,2020-01-01
48,rockstar (feat. 21 Savage),Post Malone,418736,2020-01-01
49,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,414501,2020-01-01
50,"10,000 Hours (with Justin Bieber)",Dan + Shay,403337,2020-01-01
51,"thank u, next",Ariana Grande,396198,2020-01-01
52,Old Town Road - Remix,Lil Nas X,394518,2020-01-01
53,7 rings,Ariana Grande,392380,2020-01-01
54,SICKO MODE,Travis Scott,391992,2020-01-01
55,Make No Sense,YoungBoy Never Broke Again,388529,2020-01-01
56,Start Wit Me (feat. Gunna),Roddy Ricch,386865,2020-01-01
57,WHAT TO DO? (feat. Don Toliver),JACKBOYS,386759,2020-01-01
58,Camelot,NLE Choppa,383572,2020-01-01
59,God's Plan,Drake,382228,2020-01-01
60,Falling,Harry Styles,372181,2020-01-01
61,GANG GANG,JACKBOYS,370967,2020-01-01
62,Talk (feat. Disclosure),Khalid,370536,2020-01-01
63,All Girls Are The Same,Juice WRLD,370106,2020-01-01
64,Happier,Marshmello,361184,2020-01-01
65,Yellow Hearts,Ant Saunders,360586,2020-01-01
66,Baby (Lil Baby feat. DaBaby),Quality Control,358487,2020-01-01
67,Vete,Bad Bunny,357508,2020-01-01
68,Legends,Juice WRLD,355716,2020-01-01
69,Let Me Know (I Wonder Why Freestyle),Juice WRLD,354190,2020-01-01
70,The London (feat. J. Cole & Travis Scott),Young Thug,351395,2020-01-01
71,Pop Out (feat. Lil Tjay),Polo G,349367,2020-01-01
72,Beautiful People (feat. Khalid),Ed Sheeran,349021,2020-01-01
73,Say So,Doja Cat,347513,2020-01-01
74,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,344726,2020-01-01
75,SUGAR,BROCKHAMPTON,343110,2020-01-01
76,ORANGE SODA,Baby Keem,339850,2020-01-01
77,Going Bad (feat. Drake),Meek Mill,339587,2020-01-01
78,VALENTINO,24kGoldn,338264,2020-01-01
79,Girls Like You (feat. Cardi B),Maroon 5,338256,2020-01-01
80,Drip Too Hard (Lil Baby & Gunna),Lil Baby,337258,2020-01-01
81,Tusa,KAROL G,333055,2020-01-01
82,Peta (feat. Meek Mill),Roddy Ricch,332763,2020-01-01
83,I Like It,Cardi B,328206,2020-01-01
84,Murder On My Mind,YNW Melly,327911,2020-01-01
85,Cash Shit (feat. DaBaby),Megan Thee Stallion,327285,2020-01-01
86,Closer,The Chainsmokers,327165,2020-01-01
87,when the party's over,Billie Eilish,325109,2020-01-01
88,Lights Up,Harry Styles,321018,2020-01-01
89,Hate Me (with Juice WRLD),Ellie Goulding,320242,2020-01-01
90,Panini,Lil Nas X,319353,2020-01-01
91,GOODMORNINGTOKYO!,TOKYO’S REVENGE,319259,2020-01-01
92,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,318732,2020-01-01
93,Lalala,Y2K,317887,2020-01-01
94,RITMO (Bad Boys For Life),Black Eyed Peas,317368,2020-01-01
95,Hot (feat. Gunna),Young Thug,317050,2020-01-01
96,EARFQUAKE,"Tyler, The Creator",314235,2020-01-01
97,Better Now,Post Malone,311406,2020-01-01
98,Juice,Lizzo,308722,2020-01-01
99,Into the Unknown,Idina Menzel,308456,2020-01-01
100,Enemies (feat. DaBaby),Post Malone,308049,2020-01-01
101,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,307010,2020-01-01
102,SAD!,XXXTENTACION,306974,2020-01-01
103,Sucker,Jonas Brothers,305864,2020-01-01
104,SLOW DANCING IN THE DARK,Joji,303492,2020-01-01
105,Juicy,Doja Cat,302383,2020-01-01
106,6 Kiss,Trippie Redd,301865,2020-01-01
107,Shape of You,Ed Sheeran,299544,2020-01-01
108,Don't Stop Me Now - 2011 Mix,Queen,299108,2020-01-01
109,I Don't Care (with Justin Bieber),Ed Sheeran,297299,2020-01-01
110,Armed And Dangerous,Juice WRLD,289230,2020-01-01
111,Young Dumb & Broke,Khalid,287460,2020-01-01
112,lovely (with Khalid),Billie Eilish,287411,2020-01-01
113,How Do You Sleep?,Sam Smith,287064,2020-01-01
114,F.N,Lil Tjay,283736,2020-01-01
115,The Middle,Zedd,281430,2020-01-01
116,Good as Hell,Lizzo,280929,2020-01-01
117,Graveyard,Halsey,280299,2020-01-01
118,One Dance,Drake,280073,2020-01-01
119,July,Noah Cyrus,279670,2020-01-01
120,Ransom (with Juice WRLD) - Remix,Lil Tecca,277020,2020-01-01
121,Trampoline,SHAED,275852,2020-01-01
122,I Fall Apart,Post Malone,274074,2020-01-01
123,Feel It Still,Portugal. The Man,271775,2020-01-01
124,Panini - DaBaby Remix,Lil Nas X,270827,2020-01-01
125,Despacito - Remix,Luis Fonsi,270471,2020-01-01
126,Lean Wit Me,Juice WRLD,270320,2020-01-01
127,Hot Shower,Chance the Rapper,267151,2020-01-01
128,Sanguine Paradise,Lil Uzi Vert,266887,2020-01-01
129,Hey Ya!,OutKast,266847,2020-01-01
130,XO Tour Llif3,Lil Uzi Vert,266698,2020-01-01
131,Wake Me Up,Avicii,264771,2020-01-01
132,Hop Off A Jet (feat. Travis Scott),Young Thug,263137,2020-01-01
133,Callaita,Bad Bunny,260623,2020-01-01
134,goosebumps,Travis Scott,260493,2020-01-01
135,Pure Water (with Migos),Mustard,260411,2020-01-01
136,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,259345,2020-01-01
137,Somebody,Internet Money,258012,2020-01-01
138,High Hopes,Panic! At The Disco,257896,2020-01-01
139,Without Me,Halsey,257676,2020-01-01
140,Heart On Ice,Rod Wave,257403,2020-01-01
141,Jocelyn Flores,XXXTENTACION,256998,2020-01-01
142,Before You Go,Lewis Capaldi,256432,2020-01-01
143,High Fashion (feat. Mustard),Roddy Ricch,256145,2020-01-01
144,If the World Was Ending - feat. Julia Michaels,JP Saxe,256049,2020-01-01
145,HUMBLE.,Kendrick Lamar,255129,2020-01-01
146,GATTI,JACKBOYS,252886,2020-01-01
147,My Type,Saweetie,252601,2020-01-01
148,Up All Night,Khalid,251849,2020-01-01
149,Immortal,21 Savage,250656,2020-01-01
150,Bad Bad Bad (feat. Lil Baby),Young Thug,250411,2020-01-01
151,MIA (feat. Drake),Bad Bunny,250410,2020-01-01
152,Millions,Young Thug,250258,2020-01-01
153,Eastside (with Halsey & Khalid),benny blanco,249753,2020-01-01
154,Pumped Up Kicks,Foster The People,249441,2020-01-01
155,Maniac,Conan Gray,249238,2020-01-01
156,One Thing Right,Marshmello,249008,2020-01-01
157,Heartless (feat. Morgan Wallen),Diplo,245994,2020-01-01
158,Congratulations,Post Malone,245855,2020-01-01
159,Shotta Flow (feat. Blueface) [Remix],NLE Choppa,245663,2020-01-01
160,Nice For What,Drake,245371,2020-01-01
161,Did It Again,Lil Tecca,244480,2020-01-01
162,LA CANCIÓN,J Balvin,244158,2020-01-01
163,New Rules,Dua Lipa,242927,2020-01-01
164,Moonlight,XXXTENTACION,240439,2020-01-01
165,Havana (feat. Young Thug),Camila Cabello,240339,2020-01-01
166,BEST ON EARTH (feat. BIA) - Bonus,Russ,240043,2020-01-01
167,One Kiss (with Dua Lipa),Calvin Harris,236145,2020-01-01
168,Dancing With A Stranger (with Normani),Sam Smith,236121,2020-01-01
169,Envy Me,Calboy,235239,2020-01-01
170,bury a friend,Billie Eilish,234968,2020-01-01
171,You Need To Calm Down,Taylor Swift,233874,2020-01-01
172,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,233739,2020-01-01
173,Candy,Doja Cat,233338,2020-01-01
174,It's You,Ali Gatie,232735,2020-01-01
175,Faucet Failure,Ski Mask The Slump God,232493,2020-01-01
176,Mo Bamba,Sheck Wes,232486,2020-01-01
177,Motivation,Normani,230214,2020-01-01
178,Yes Indeed,Lil Baby,230025,2020-01-01
179,One Man Band,Old Dominion,229637,2020-01-01
180,a lot,21 Savage,228949,2020-01-01
181,Famous Hoes,NLE Choppa,228317,2020-01-01
182,Graduation (with Juice WRLD),benny blanco,226880,2020-01-01
183,Fuck Love (feat. Trippie Redd),XXXTENTACION,225963,2020-01-01
184,Better,Khalid,223491,2020-01-01
185,ocean eyes,Billie Eilish,222510,2020-01-01
186,UP THE SMOKE (with Offset),Stunna 4 Vegas,222433,2020-01-01
187,How I Move (feat. Lil Baby),Flipp Dinero,221599,2020-01-01
188,The Less I Know The Better,Tame Impala,219983,2020-01-01
189,Saint-Tropez,Post Malone,219881,2020-01-01
190,No Role Modelz,J. Cole,218022,2020-01-01
191,Love Me More,Trippie Redd,216097,2020-01-01
192,Noticed,Lil Mosey,215674,2020-01-01
193,no tears left to cry,Ariana Grande,212711,2020-01-01
194,We Are Young (feat. Janelle Monáe),fun.,212534,2020-01-01
195,Beautiful Crazy,Luke Combs,212502,2020-01-01
196,Speechless,Dan + Shay,212418,2020-01-01
197,Paper Planes,M.I.A.,211588,2020-01-01
198,Slide,H.E.R.,210099,2020-01-01
199,Whiskey Glasses,Morgan Wallen,209966,2020-01-01
200,All Me (feat. Keyshia Cole),Kehlani,209877,2020-01-01
1,The Box,Roddy Ricch,1964762,2020-01-02
2,ROXANNE,Arizona Zervas,1314246,2020-01-02
3,Circles,Post Malone,1162414,2020-01-02
4,BOP,DaBaby,1046860,2020-01-02
5,Falling,Trevor Daniel,1006501,2020-01-02
6,Bandit (with YoungBoy Never Broke Again),Juice WRLD,959264,2020-01-02
7,Dance Monkey,Tones And I,924138,2020-01-02
8,Futsal Shuffle 2020,Lil Uzi Vert,915770,2020-01-02
9,everything i wanted,Billie Eilish,830511,2020-01-02
10,Adore You,Harry Styles,819263,2020-01-02
11,Ballin' (with Roddy Ricch),Mustard,792558,2020-01-02
12,Suicidal,YNW Melly,762271,2020-01-02
13,Blinding Lights,The Weeknd,756177,2020-01-02
14,My Oh My (feat. DaBaby),Camila Cabello,727465,2020-01-02
15,Watermelon Sugar,Harry Styles,691459,2020-01-02
16,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,691152,2020-01-02
17,Don't Start Now,Dua Lipa,686826,2020-01-02
18,OUT WEST (feat. Young Thug),JACKBOYS,681454,2020-01-02
19,Someone You Loved,Lewis Capaldi,677711,2020-01-02
20,hot girl bummer,blackbear,673112,2020-01-02
21,Heartless,The Weeknd,653900,2020-01-02
22,Memories,Maroon 5,650853,2020-01-02
23,No Idea,Don Toliver,645151,2020-01-02
24,HIGHEST IN THE ROOM,Travis Scott,637710,2020-01-02
25,VIBEZ,DaBaby,589613,2020-01-02
26,Lose You To Love Me,Selena Gomez,588757,2020-01-02
27,Lucid Dreams,Juice WRLD,587147,2020-01-02
28,Woah,Lil Baby,582503,2020-01-02
29,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,582051,2020-01-02
30,bad guy,Billie Eilish,573523,2020-01-02
31,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,559417,2020-01-02
32,Suge,DaBaby,555167,2020-01-02
33,Robbery,Juice WRLD,542166,2020-01-02
34,Ransom,Lil Tecca,508837,2020-01-02
35,"10,000 Hours (with Justin Bieber)",Dan + Shay,497830,2020-01-02
36,Truth Hurts,Lizzo,493507,2020-01-02
37,Falling,Harry Styles,484551,2020-01-02
38,223's (feat. 9lokknine),YNW Melly,476721,2020-01-02
39,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,476471,2020-01-02
40,Señorita,Shawn Mendes,466882,2020-01-02
41,Goodbyes (Feat. Young Thug),Post Malone,464277,2020-01-02
42,Stuck In A Dream (feat. Gunna),Lil Mosey,460937,2020-01-02
43,Had Enough (feat. Quavo & Offset),Don Toliver,456924,2020-01-02
44,Money In The Grave (Drake ft. Rick Ross),Drake,449438,2020-01-02
45,Death,Trippie Redd,448299,2020-01-02
46,No Guidance (feat. Drake),Chris Brown,441728,2020-01-02
47,Wow.,Post Malone,435919,2020-01-02
48,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,434469,2020-01-02
49,SUGAR,BROCKHAMPTON,426477,2020-01-02
50,Yellow Hearts,Ant Saunders,415818,2020-01-02
51,MIDDLE CHILD,J. Cole,414626,2020-01-02
52,Start Wit Me (feat. Gunna),Roddy Ricch,406443,2020-01-02
53,WHAT TO DO? (feat. Don Toliver),JACKBOYS,397092,2020-01-02
54,Say So,Doja Cat,395300,2020-01-02
55,All Girls Are The Same,Juice WRLD,392413,2020-01-02
56,Beautiful People (feat. Khalid),Ed Sheeran,391562,2020-01-02
57,Lights Up,Harry Styles,391434,2020-01-02
58,when the party's over,Billie Eilish,391328,2020-01-02
59,Camelot,NLE Choppa,387041,2020-01-02
60,Make No Sense,YoungBoy Never Broke Again,381448,2020-01-02
61,July,Noah Cyrus,379285,2020-01-02
62,Let Me Know (I Wonder Why Freestyle),Juice WRLD,378839,2020-01-02
63,GANG GANG,JACKBOYS,376396,2020-01-02
64,Legends,Juice WRLD,372839,2020-01-02
65,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,371679,2020-01-02
66,Hate Me (with Juice WRLD),Ellie Goulding,355872,2020-01-02
67,GOODMORNINGTOKYO!,TOKYO’S REVENGE,355856,2020-01-02
68,7 rings,Ariana Grande,355283,2020-01-02
69,Vete,Bad Bunny,354344,2020-01-02
70,Peta (feat. Meek Mill),Roddy Ricch,354188,2020-01-02
71,Baby (Lil Baby feat. DaBaby),Quality Control,346296,2020-01-02
72,SLOW DANCING IN THE DARK,Joji,345717,2020-01-02
73,If the World Was Ending - feat. Julia Michaels,JP Saxe,345063,2020-01-02
74,VALENTINO,24kGoldn,344053,2020-01-02
75,ORANGE SODA,Baby Keem,343831,2020-01-02
76,Into the Unknown,Idina Menzel,343209,2020-01-02
77,SICKO MODE,Travis Scott,341736,2020-01-02
78,Tip Toe (feat. A Boogie Wit da Hoodie),Roddy Ricch,341141,2020-01-02
79,lovely (with Khalid),Billie Eilish,340615,2020-01-02
80,Murder On My Mind,YNW Melly,339951,2020-01-02
81,Pop Out (feat. Lil Tjay),Polo G,338953,2020-01-02
