position,track,artist,streams,date
1,Dance Monkey,Tones And I,6155025,2020-01-01
2,ROXANNE,Arizona Zervas,4133489,2020-01-01
3,Tusa,KAROL G,4017964,2020-01-01
4,Circles,Post Malone,3283180,2020-01-01
5,Memories,Maroon 5,3127585,2020-01-01
6,Falling,Trevor Daniel,2993746,2020-01-01
7,Don't Start Now,Dua Lipa,2992597,2020-01-01
8,RITMO (Bad Boys For Life),Black Eyed Peas,2980775,2020-01-01
9,Señorita,Shawn Mendes,2873805,2020-01-01
10,Blinding Lights,The Weeknd,2830968,2020-01-01
11,The Box,Roddy Ricch,2715653,2020-01-01
12,bad guy,Billie Eilish,2564016,2020-01-01
13,everything i wanted,Billie Eilish,2477644,2020-01-01
14,Someone You Loved,Lewis Capaldi,2356916,2020-01-01
15,Adore You,Harry Styles,2019758,2020-01-01
16,Vete,Bad Bunny,1951124,2020-01-01
17,My Oh My (feat. DaBaby),Camila Cabello,1934870,2020-01-01
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1884725,2020-01-01
19,hot girl bummer,blackbear,1870095,2020-01-01
20,China,Anuel AA,1861342,2020-01-01
21,Lose You To Love Me,Selena Gomez,1819647,2020-01-01
22,BOP,DaBaby,1798728,2020-01-01
23,Ride It,Regard,1746472,2020-01-01
24,Watermelon Sugar,Harry Styles,1675202,2020-01-01
25,HIGHEST IN THE ROOM,Travis Scott,1667985,2020-01-01
26,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1604371,2020-01-01
27,I Don't Care (with Justin Bieber),Ed Sheeran,1597395,2020-01-01
28,Fantasias,Rauw Alejandro,1579814,2020-01-01
29,Beautiful People (feat. Khalid),Ed Sheeran,1517497,2020-01-01
30,Lucid Dreams,Juice WRLD,1514188,2020-01-01
31,Heartless,The Weeknd,1510767,2020-01-01
32,No Idea,Don Toliver,1458329,2020-01-01
33,Old Town Road - Remix,Lil Nas X,1446903,2020-01-01
34,Futsal Shuffle 2020,Lil Uzi Vert,1445478,2020-01-01
35,LA CANCIÓN,J Balvin,1436592,2020-01-01
36,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,1434685,2020-01-01
37,Callaita,Bad Bunny,1401929,2020-01-01
38,7 rings,Ariana Grande,1371739,2020-01-01
39,Before You Go,Lewis Capaldi,1333574,2020-01-01
40,Que Tire Pa Lante,Daddy Yankee,1329281,2020-01-01
41,Lalala,Y2K,1291953,2020-01-01
42,Hola - Remix,Dalex,1273828,2020-01-01
43,Whine Up,Nicky Jam,1254899,2020-01-01
44,How Do You Sleep?,Sam Smith,1241875,2020-01-01
45,No Me Conoce - Remix,Jhay Cortez,1237445,2020-01-01
46,Lose Control,MEDUZA,1215005,2020-01-01
47,"10,000 Hours (with Justin Bieber)",Dan + Shay,1214953,2020-01-01
48,Sigues Con El,Dímelo Flow,1199083,2020-01-01
49,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,1190890,2020-01-01
50,Ayy Macarena,Tyga,1182984,2020-01-01
51,Ballin' (with Roddy Ricch),Mustard,1178320,2020-01-01
52,Happier,Marshmello,1149923,2020-01-01
53,Suicidal,YNW Melly,1146623,2020-01-01
54,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1144225,2020-01-01
55,Adicto (with Anuel AA & Ozuna),Tainy,1137938,2020-01-01
56,OUT WEST (feat. Young Thug),JACKBOYS,1114074,2020-01-01
57,Ransom,Lil Tecca,1112466,2020-01-01
58,Goodbyes (Feat. Young Thug),Post Malone,1110006,2020-01-01
59,Con Altura,ROSALÍA,1086933,2020-01-01
60,Shape of You,Ed Sheeran,1065859,2020-01-01
61,Trampoline,SHAED,1053060,2020-01-01
62,Shallow,Lady Gaga,1043906,2020-01-01
63,Truth Hurts,Lizzo,1018639,2020-01-01
64,rockstar (feat. 21 Savage),Post Malone,1015073,2020-01-01
65,Girls Like You (feat. Cardi B),Maroon 5,1011338,2020-01-01
66,Wow.,Post Malone,1002502,2020-01-01
67,Bohemian Rhapsody - 2011 Mix,Queen,993846,2020-01-01
68,Liberdade Provisória,Henrique & Juliano,989153,2020-01-01
69,when the party's over,Billie Eilish,987596,2020-01-01
70,"thank u, next",Ariana Grande,976647,2020-01-01
71,Piece Of Your Heart,MEDUZA,967600,2020-01-01
72,lovely (with Khalid),Billie Eilish,957848,2020-01-01
73,Falling,Harry Styles,945474,2020-01-01
74,Psycho,Red Velvet,942215,2020-01-01
75,Con Calma,Daddy Yankee,930799,2020-01-01
76,Sucker,Jonas Brothers,930066,2020-01-01
77,Robbery,Juice WRLD,920310,2020-01-01
78,Yellow Hearts,Ant Saunders,918798,2020-01-01
79,Tutu,Camilo,917214,2020-01-01
80,Aventura,Lunay,911629,2020-01-01
81,VIBEZ,DaBaby,906858,2020-01-01
82,Lights Up,Harry Styles,903674,2020-01-01
83,Soltera - Remix,Lunay,902955,2020-01-01
84,It's You,Ali Gatie,902778,2020-01-01
85,Don't Stop Me Now - 2011 Mix,Queen,902402,2020-01-01
86,"Yo x Ti, Tu x Mi",ROSALÍA,890696,2020-01-01
87,Blanco,J Balvin,889695,2020-01-01
88,SICKO MODE,Travis Scott,881997,2020-01-01
89,Indeciso,Reik,881242,2020-01-01
90,Money In The Grave (Drake ft. Rick Ross),Drake,879962,2020-01-01
91,God's Plan,Drake,872771,2020-01-01
92,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,861122,2020-01-01
93,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,851712,2020-01-01
94,Suge,DaBaby,846925,2020-01-01
95,Woah,Lil Baby,846370,2020-01-01
96,GANG GANG,JACKBOYS,843763,2020-01-01
