position,track,artist,streams,date
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1867789,2019-01-01
2,Wow.,Post Malone,1564946,2019-01-01
3,SICKO MODE,Travis Scott,1454622,2019-01-01
4,"thank u, next",Ariana Grande,1397512,2019-01-01
5,Going Bad (feat. Drake),Meek Mill,1245437,2019-01-01
6,Mo Bamba,Sheck Wes,1188824,2019-01-01
7,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1178459,2019-01-01
8,ZEZE (feat. Travis Scott & Offset),Kodak Black,1163374,2019-01-01
9,Without Me,Halsey,972371,2019-01-01
10,Leave Me Alone,Flipp Dinero,858875,2019-01-01
11,Lucid Dreams,Juice WRLD,804928,2019-01-01
12,Wake Up in the Sky,Gucci Mane,800164,2019-01-01
13,Happier,Marshmello,736137,2019-01-01
14,a lot,21 Savage,708965,2019-01-01
15,Money,Cardi B,697968,2019-01-01
16,MIA (feat. Drake),Bad Bunny,693951,2019-01-01
17,I Like It,Cardi B,692217,2019-01-01
18,Look Back at It,A Boogie Wit da Hoodie,685428,2019-01-01
19,Better Now,Post Malone,677444,2019-01-01
20,SAD!,XXXTENTACION,672912,2019-01-01
21,Eastside (with Halsey & Khalid),benny blanco,651817,2019-01-01
22,God's Plan,Drake,651722,2019-01-01
23,rockstar (feat. 21 Savage),Post Malone,625774,2019-01-01
24,Nonstop,Drake,621972,2019-01-01
25,High Hopes,Panic! At The Disco,619788,2019-01-01
26,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,617625,2019-01-01
27,monster,21 Savage,609270,2019-01-01
28,whoa (mind in awe),XXXTENTACION,596777,2019-01-01
29,Moonlight,XXXTENTACION,575048,2019-01-01
30,Taste (feat. Offset),Tyga,571013,2019-01-01
31,imagine,Ariana Grande,563447,2019-01-01
32,Better,Khalid,550240,2019-01-01
33,Armed And Dangerous,Juice WRLD,550122,2019-01-01
34,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,526153,2019-01-01
35,Sweet but Psycho,Ava Max,517960,2019-01-01
36,BAD!,XXXTENTACION,511990,2019-01-01
