position,track,artist,streams,date
1,"thank u, next",Ariana Grande,3978028,2019-01-01
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3883836,2019-01-01
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3351784,2019-01-01
4,Wow.,Post Malone,3195966,2019-01-01
5,MIA (feat. Drake),Bad Bunny,2777884,2019-01-01
6,SICKO MODE,Travis Scott,2624453,2019-01-01
7,Without Me,Halsey,2618489,2019-01-01
8,Sweet but Psycho,Ava Max,2432084,2019-01-01
9,Calma - Remix,Pedro Capó,2385494,2019-01-01
10,Happier,Marshmello,2385450,2019-01-01
11,Adan y Eva,Paulo Londra,2191752,2019-01-01
12,ZEZE (feat. Travis Scott & Offset),Kodak Black,2160788,2019-01-01
13,Going Bad (feat. Drake),Meek Mill,2020725,2019-01-01
14,Mo Bamba,Sheck Wes,1904157,2019-01-01
15,High Hopes,Panic! At The Disco,1818904,2019-01-01
16,Eastside (with Halsey & Khalid),benny blanco,1766878,2019-01-01
17,Girls Like You (feat. Cardi B),Maroon 5,1748652,2019-01-01
18,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1702113,2019-01-01
19,I Like It,Cardi B,1649370,2019-01-01
20,Better Now,Post Malone,1610618,2019-01-01
21,Lucid Dreams,Juice WRLD,1599587,2019-01-01
22,Bohemian Rhapsody - 2011 Mix,Queen,1575089,2019-01-01
23,Shallow,Lady Gaga,1569388,2019-01-01
24,God's Plan,Drake,1552552,2019-01-01
25,rockstar (feat. 21 Savage),Post Malone,1532954,2019-01-01
26,SAD!,XXXTENTACION,1520786,2019-01-01
27,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1480647,2019-01-01
28,In My Mind,Dynoro,1434955,2019-01-01
29,imagine,Ariana Grande,1415040,2019-01-01
30,Ella Quiere Beber - Remix,Anuel AA,1401784,2019-01-01
31,Better,Khalid,1355797,2019-01-01
32,Promises (with Sam Smith),Calvin Harris,1354412,2019-01-01
33,when the party's over,Billie Eilish,1354146,2019-01-01
34,One Kiss (with Dua Lipa),Calvin Harris,1349422,2019-01-01
